"subject","dossier_route","subject_type","power_sectors","power_roles","record_id","legal_lane","conduct_domains","victim_class","record_date","jurisdiction","status","outcome","evidence_grade","source_label","source_url","right_of_reply","counter_evidence","proof_needed","boundary"
"Robert Hadden","dossier-robert-hadden.html","person","Healthcare, care-home, medical or therapeutic authority","Obstetrician and gynecologist, Columbia University Medical Center and affiliated practices (1987 – 2012)","hadden-federal-conviction-sentence-2023","Convictions / Final Criminal Judgments","Sexual assault or equivalent non-consensual sexual offence | Sexual abuse not otherwise classified","female patients | adult patients","2023-07-25","United States federal court, Southern District of New York","adjudicated","Twenty years in federal prison and lifetime supervised release.","A","Southern District of New York: Hadden sentenced","https://www.justice.gov/usao-sdny/pr/former-obstetriciangynecologist-robert-hadden-sentenced-20-years-prison-sexually","Hadden denied the federal charges and exercised his trial rights.","The federal judgment establishes Hadden's crimes. Institutional knowledge, civil liability and individual staff responsibility require separate evidence and legal records.","Maintain the federal judgment, sentencing record and institution-specific civil and regulatory outcomes.","Limited to the exact offense, defendant, court, jurisdiction and disposition stated in the final record."
"Lawrence Ray","dossier-lawrence-ray.html","person","Other documented authority, fame, access, succession, patronage or gatekeeping influence","Leader of a coercive criminal enterprise controlling students and associates, Lawrence Ray enterprise (2010 – 2020)","lawrence-ray-conviction-sentence-2023","Convictions / Final Criminal Judgments","Other criminal sexual offence | Sexual abuse not otherwise classified | Documented facilitation, concealment, obstruction or institutional failure connected to sexual offences or crimes against children","college students | young adults | women","2023-01-20","United States federal court, Southern District of New York","adjudicated","60-year federal prison sentence.","A","SDNY: Lawrence Ray sentenced","https://www.justice.gov/usao-sdny/pr/lawrence-ray-sentenced-years-long-predatory-crimes-against-students-sarah-lawrence","Ray denied wrongdoing and exercised his trial rights.","The conviction establishes Ray's enterprise and offenses. It does not establish culpability by every college employee, student, relative or acquaintance.","Maintain the judgment, restitution record and separately adjudicated roles of associates.","Limited to the exact offense, defendant, court, jurisdiction and disposition stated in the final record."
"Joel Micah Greenberg","dossier-joel-greenberg.html","person","Elected or appointed public office","Seminole County Tax Collector, Seminole County Tax Collector's Office (2017 – 2020)","greenberg-sentence-2022","Convictions / Final Criminal Judgments","Trafficking of a child for sexual exploitation or other exploitation | Commercial or non-commercial sexual exploitation of a child | Documented facilitation, concealment, obstruction or institutional failure connected to sexual offences or crimes against children","minor victim | taxpayers | identity-theft victims","2022-12-01","United States federal court, Middle District of Florida","adjudicated","Eleven years in federal prison.","A","DOJ Middle District COVID-fraud enforcement results","https://www.justice.gov/usao-mdfl/pr/over-100-defendants-federally-charged-fraud-related-covid-19-pandemic","The sentence followed Greenberg's guilty plea and cooperation.","The aggregate sentence covered multiple offenses and should not be described as punishment solely for the trafficking count.","Link the exact judgment and allocation of sentence to each count.","Limited to the exact offense, defendant, court, jurisdiction and disposition stated in the final record."
"Joel Micah Greenberg","dossier-joel-greenberg.html","person","Elected or appointed public office","Seminole County Tax Collector, Seminole County Tax Collector's Office (2017 – 2020)","greenberg-guilty-plea-2021","Convictions / Final Criminal Judgments","Trafficking of a child for sexual exploitation or other exploitation | Commercial or non-commercial sexual exploitation of a child | Documented facilitation, concealment, obstruction or institutional failure connected to sexual offences or crimes against children","minor victim | public and identity-theft victims","2021-05-17","United States federal court, Middle District of Florida","adjudicated","Guilty plea to six federal offenses; later sentenced to 11 years in federal prison.","A","Middle District of Florida: Greenberg guilty plea","https://www.justice.gov/usao-mdfl/pr/former-seminole-county-tax-collector-joel-micah-greenberg-pleads-guilty-multiple","Greenberg entered guilty pleas and cooperated with federal authorities.","The plea establishes Greenberg's crimes, not automatic criminal responsibility for every politician, employee, consultant or associate he knew.","Maintain the plea agreement, judgment, sentence and cooperation-related filings.","Limited to the exact offense, defendant, court, jurisdiction and disposition stated in the final record."
"Larry Nassar","dossier-larry-nassar.html","person","Sports governance, ownership, coaching or major athletic influence | Healthcare, care-home, medical or therapeutic authority","National Medical Coordinator and treating physician, USA Gymnastics (not stated – 2015) | Osteopathic sports physician, Michigan State University (not stated – 2016)","nassar-state-convictions-2018","Convictions / Final Criminal Judgments","Sexual abuse of a child | Sexual assault or equivalent non-consensual sexual offence","girls | young women | athletes | patients","2018-02-05","Michigan, United States","adjudicated","Ten state felony convictions and lengthy prison sentences.","A","Michigan Attorney General case summary","https://www.michigan.gov/ag/news/press-releases/2020/08/04/kathie-klages-sentenced-for-lying-to-authorities-in-larry-nassar-investigation","Nassar entered guilty pleas and later pursued sentencing-related appeals.","The convictions establish Nassar's conduct, not automatic knowledge or culpability by every coach, doctor or administrator.","Maintain certified judgments and final appellate status for each county case.","Limited to the exact offense, defendant, court, jurisdiction and disposition stated in the final record."
"Larry Nassar","dossier-larry-nassar.html","person","Sports governance, ownership, coaching or major athletic influence | Healthcare, care-home, medical or therapeutic authority","National Medical Coordinator and treating physician, USA Gymnastics (not stated – 2015) | Osteopathic sports physician, Michigan State University (not stated – 2016)","nassar-federal-conviction-2017","Convictions / Final Criminal Judgments","Creation, possession, distribution or facilitation of child sexual abuse material | Documented facilitation, concealment, obstruction or institutional failure connected to sexual offences or crimes against children","children","2017-12-07","United States federal court, Western District of Michigan","adjudicated","60-year federal sentence consecutive to state sentences.","A","U.S. Attorney WDMI: Nassar sentenced","https://www.justice.gov/usao-wdmi/pr/2017_1207_Nassar","Nassar pleaded guilty under a plea agreement.","The federal case concerns CSAM and obstruction; sexual-assault convictions were entered in state court.","Keep federal and state conduct separated and cross-linked.","Limited to the exact offense, defendant, court, jurisdiction and disposition stated in the final record."
"Larry Nassar","dossier-larry-nassar.html","person","Sports governance, ownership, coaching or major athletic influence | Healthcare, care-home, medical or therapeutic authority","National Medical Coordinator and treating physician, USA Gymnastics (not stated – 2015) | Osteopathic sports physician, Michigan State University (not stated – 2016)","nassar-fbi-oig-2021","Investigations / Inquiries","Documented facilitation, concealment, obstruction or institutional failure connected to sexual offences or crimes against children | Sexual abuse of a child","girls | young women | athletes","2021-07-14","United States","closed","Official inspector-general findings published.","A","DOJ OIG Nassar report","https://oig.justice.gov/reports/investigation-and-review-federal-bureau-investigations-handling-allegations-sexual-abuse","The OIG report includes agency responses and distinguishes individual conduct findings.","Institutional failures do not establish that every FBI, MSU or USA Gymnastics employee knew or intentionally concealed abuse.","Map report dates, referrals, interviews, delays and subsequent victims against exact findings.","An investigation or inquiry records the scope and findings of the named official process. It does not substitute for a criminal conviction and must be read with the report's limitations."
"Jeffrey Epstein","dossier-jeffrey-epstein-criminal.html","person","Banking, investment, trust, family-office, asset-control or capital-allocation authority","Financier and private wealth manager, Private financial and investment network (not stated – 2019)","epstein-florida-plea-2008","Convictions / Final Criminal Judgments","Commercial or non-commercial sexual exploitation of a child | Other criminal sexual offence","minor girls","2008-06-30","Florida, United States","adjudicated","Guilty plea, custodial sentence and sex-offender registration consequences.","A","DOJ disclosed 2008 plea record","https://www.justice.gov/epstein/files/DataSet%208/EFTA00013890.pdf","The guilty plea is Epstein's formal admission to the exact Florida offenses.","The conviction does not adjudicate every later allegation or establish criminal knowledge by every associate.","Maintain certified plea, sentencing and registration records.","Limited to the exact offense, defendant, court, jurisdiction and disposition stated in the final record."
"Jeffrey Epstein","dossier-jeffrey-epstein-criminal.html","person","Banking, investment, trust, family-office, asset-control or capital-allocation authority","Financier and private wealth manager, Private financial and investment network (not stated – 2019)","epstein-sdny-charges-2019","Charges / Indictments / Criminal Complaints","Trafficking of a child for sexual exploitation or other exploitation | Commercial or non-commercial sexual exploitation of a child | Sexual abuse of a child","minor girls","2019-07-08","United States federal court, SDNY","dismissed","Charges dismissed after Epstein died; no trial or verdict.","A","SDNY: Epstein charged","https://www.justice.gov/usao-sdny/pr/jeffrey-epstein-charged-manhattan-federal-court-sex-trafficking-minors","Epstein died before a completed trial.","The indictment contained allegations and the presumption of innocence applied. Dismissal followed death, not acquittal on the merits.","Keep indictment allegations distinct from the 2008 conviction and claims about associates.","A charge, indictment or complaint is an accusation, not proof of guilt. Presumption of innocence applies unless and until adjudicated."
"Jeffrey Epstein","dossier-jeffrey-epstein-criminal.html","person","Banking, investment, trust, family-office, asset-control or capital-allocation authority","Financier and private wealth manager, Private financial and investment network (not stated – 2019)","epstein-opr-review-2020","Investigations / Inquiries","Documented facilitation, concealment, obstruction or institutional failure connected to sexual offences or crimes against children | Commercial or non-commercial sexual exploitation of a child","minor victims","2020-11-12","United States","closed","Official professional-responsibility review published.","A","DOJ OPR statement","https://www.justice.gov/archives/opa/pr/statement-doj-office-professional-responsibility-report-jeffrey-epstein-2006-2008","The review did not find professional misconduct under the applicable standards.","Poor judgment and victim-treatment failures are not proof of a corrupt conspiracy or criminal protection arrangement.","Preserve the full report, agreement negotiations and victim-notification chronology.","An investigation or inquiry records the scope and findings of the named official process. It does not substitute for a criminal conviction and must be read with the report's limitations."
"Keith Raniere","dossier-keith-raniere.html","person","Founder, owner, chief executive or C-suite authority | Other documented authority, fame, access, succession, patronage or gatekeeping influence","Founder and controlling leader, NXIVM (1998 – 2018) | Head of DOS hierarchy inside NXIVM, DOS / The Vow (2015 – 2018)","raniere-conviction-sentence-2020","Convictions / Final Criminal Judgments","Commercial or non-commercial sexual exploitation of a child | Sexual abuse of a child | Creation, possession, distribution or facilitation of child sexual abuse material | Other criminal sexual offence","women | minor girl | NXIVM members","2020-10-27","United States federal court, Eastern District of New York","adjudicated","Jury conviction and 120-year federal prison sentence.","A","EDNY: NXIVM leader sentenced to 120 years","https://www.justice.gov/usao-edny/pr/nxivm-leader-keith-raniere-sentenced-120-years-prison-racketeering-and-sex-trafficking","Raniere denied wrongdoing and exercised trial and appellate rights.","The conviction establishes Raniere's crimes and the racketeering enterprise proved at trial. It does not make every NXIVM participant, donor, attendee or social contact criminally responsible.","Maintain judgment, restitution orders and final appellate status, and classify every co-defendant by their own adjudicated conduct.","Limited to the exact offense, defendant, court, jurisdiction and disposition stated in the final record."
"George A. Nader","dossier-george-nader.html","person","Senior government, diplomatic or regulatory authority | Major donor, lobbyist, adviser, strategist or political access broker","Adviser to senior United Arab Emirates government officials, Senior UAE government networks (not stated – 2018 or later) | International businessman and political-access intermediary, Private business and political network (not stated – not stated)","nader-child-exploitation-sentence-2020","Convictions / Final Criminal Judgments","Commercial or non-commercial sexual exploitation of a child | Creation, possession, distribution or facilitation of child sexual abuse material","14-year-old boy | children depicted in CSAM","2020-06-26","United States federal court, Eastern District of Virginia","adjudicated","Ten years in federal prison, $25,000 fine and $150,000 restitution to a minor victim.","A","Eastern District of Virginia: child-exploitation sentence","https://www.justice.gov/usao-edva/pr/man-sentenced-prison-child-exploitation-crimes","Nader pleaded guilty to both child-exploitation counts.","The conviction establishes Nader's own conduct. His governmental and political contacts are relevant to access but do not establish their knowledge or participation.","Maintain the plea, judgment, restitution order and 1991 conviction record separately.","Limited to the exact offense, defendant, court, jurisdiction and disposition stated in the final record."
"Peter Ball","dossier-peter-ball.html","person","Religious leadership or institutional authority","Bishop of Gloucester; formerly Bishop of Lewes, Church of England (1977 – 1993)","peter-ball-conviction-2015","Convictions / Final Criminal Judgments","Indecent assault or jurisdictional equivalent | Sexual abuse not otherwise classified | Documented facilitation, concealment, obstruction or institutional failure connected to sexual offences or crimes against children","young men | vulnerable adults | persons under religious authority","2015-10-07","England and Wales","adjudicated","Guilty pleas and sentence imposed.","A","IICSA Anglican Church investigation background","https://www.iicsa.org.uk/reports-recommendations/publications/investigation/anglican-church/part-introduction/a1-background-investigation.html","The guilty pleas are Ball's formal admissions to the specified offenses.","The conviction establishes the charged conduct, not every allegation or the knowledge of every supporter.","Maintain sentencing judgment and charge particulars.","Limited to the exact offense, defendant, court, jurisdiction and disposition stated in the final record."
"Peter Ball","dossier-peter-ball.html","person","Religious leadership or institutional authority","Bishop of Gloucester; formerly Bishop of Lewes, Church of England (1977 – 1993)","peter-ball-iicsa-support-2019","Investigations / Inquiries","Documented facilitation, concealment, obstruction or institutional failure connected to sexual offences or crimes against children | Sexual abuse not otherwise classified","young men | persons under religious authority","2019-05-09","England and Wales","closed","Official inquiry findings published.","A","IICSA Peter Ball conclusions","https://www.iicsa.org.uk/reports-recommendations/publications/investigation/anglican-chichester-peter-ball/conclusions-and-recommendations/conclusions.html","The Prince of Wales told the Inquiry he did not understand the nature or extent of the allegations and did not seek to influence the police investigation.","Support or correspondence does not establish knowledge or criminal complicity. IICSA described the Prince's actions as misguided and potentially influential, not criminal.","Classify each letter, meeting and Church decision by date, recipient, knowledge and effect.","An investigation or inquiry records the scope and findings of the named official process. It does not substitute for a criminal conviction and must be read with the report's limitations."
"Ralph Shortey","dossier-ralph-shortey.html","person","Elected or appointed public office","Oklahoma State Senator, Oklahoma Senate (2010 – 2017)","shortey-child-sex-trafficking-2018","Convictions / Final Criminal Judgments","Trafficking of a child for sexual exploitation or other exploitation | Commercial or non-commercial sexual exploitation of a child | Criminal grooming or solicitation of a child","minor boy","2018-09-17","United States federal court, Western District of Oklahoma","adjudicated","15 years in prison, ten years supervised release and victim restitution.","A","Western District of Oklahoma sentencing statement","https://www.justice.gov/usao-wdok/pr/former-oklahoma-state-senator-sentenced-fifteen-years-child-sex-trafficking","Shortey pleaded guilty to the child-sex-trafficking count.","Other child-pornography counts in the indictment were dismissed under the plea agreement and must not be labeled convictions.","Keep the convicted count, dismissed counts, sentence and restitution order separately classified.","Limited to the exact offense, defendant, court, jurisdiction and disposition stated in the final record."
"Anthony Weiner","dossier-anthony-weiner.html","person","Elected or appointed public office | Political-party leadership, campaign command or major political gatekeeping","United States Representative for New York, U.S. House of Representatives (1999 – 2011) | Candidate for Mayor of New York City, 2013 New York mayoral campaign (2013 – 2013)","weiner-federal-conviction-2017","Convictions / Final Criminal Judgments","Criminal grooming or solicitation of a child | Other criminal sexual offence","15-year-old girl","2017-09-25","United States federal court, Southern District of New York","adjudicated","21 months in prison and three years of supervised release.","A","SDNY: Anthony Weiner sentenced","https://www.justice.gov/usao-sdny/pr/anthony-weiner-sentenced-21-months-prison-transferring-obscene-material-minor","Weiner pleaded guilty and accepted responsibility in federal court.","The conviction is limited to the charged online conduct and does not establish unrelated criminal activity or wrongdoing by political colleagues.","Maintain the plea, judgment and registration or supervision consequences.","Limited to the exact offense, defendant, court, jurisdiction and disposition stated in the final record."
"Greville Janner","dossier-greville-janner.html","person","Elected or appointed public office","Member of Parliament and later life peer, UK Parliament and House of Lords (1970 – 2015)","janner-charges-2015","Charges / Indictments / Criminal Complaints","Sexual abuse of a child | Indecent assault or jurisdictional equivalent","boys | children in care","2015-06-29","England and Wales","closed","Proceedings ended after Janner's death; no verdict and no trial-of-facts determination.","A","IICSA criminal proceedings in 2015","https://www.iicsa.org.uk/reports-recommendations/publications/investigation/lord-janner/part-b-police-investigations-and-reviews/b4-criminal-proceedings-2015.html","Janner denied wrongdoing. He was never convicted and the allegations were not adjudicated.","The charges are official allegations, not proof. IICSA explicitly did not determine whether the alleged abuse occurred.","Preserve charge particulars, fitness rulings and the status of each allegation.","A charge, indictment or complaint is an accusation, not proof of guilt. Presumption of innocence applies unless and until adjudicated."
"Greville Janner","dossier-greville-janner.html","person","Elected or appointed public office","Member of Parliament and later life peer, UK Parliament and House of Lords (1970 – 2015)","janner-iicsa-2022","Investigations / Inquiries","Sexual abuse of a child | Documented facilitation, concealment, obstruction or institutional failure connected to sexual offences or crimes against children","boys | children in care","2022-10-19","England and Wales","closed","Official inquiry findings on institutional responses; no finding on the truth of allegations.","A","IICSA Lord Janner executive summary","https://www.iicsa.org.uk/reports-recommendations/publications/investigation/lord-janner/executive-summary.html","The inquiry did not determine whether Janner committed the alleged abuse.","IICSA found some earlier non-charge decisions were not unreasonable and did not find improper pressure in every investigation.","Map each police and CPS decision separately.","An investigation or inquiry records the scope and findings of the named official process. It does not substitute for a criminal conviction and must be read with the report's limitations."
"Cyril Smith","dossier-cyril-smith.html","person","Elected or appointed public office","Member of Parliament for Rochdale; former Mayor and councillor, UK Parliament and Rochdale local government (1952 – 1992)","cyril-smith-westminster-2020","Investigations / Inquiries","Sexual abuse of a child | Documented facilitation, concealment, obstruction or institutional failure connected to sexual offences or crimes against children","boys | children","2020-02-25","United Kingdom","closed","Official inquiry findings published.","A","IICSA Westminster executive summary","https://www.iicsa.org.uk/reports-recommendations/publications/investigation/westminster/executive-summary","No criminal adjudication occurred.","The inquiry did not establish a single organised Westminster network.","Connect each alleged intervention to a named document, witness and outcome.","An investigation or inquiry records the scope and findings of the named official process. It does not substitute for a criminal conviction and must be read with the report's limitations."
"Cyril Smith","dossier-cyril-smith.html","person","Elected or appointed public office","Member of Parliament for Rochdale; former Mayor and councillor, UK Parliament and Rochdale local government (1952 – 1992)","cyril-smith-iicsa-2018","Investigations / Inquiries","Sexual abuse of a child | Indecent assault or jurisdictional equivalent | Documented facilitation, concealment, obstruction or institutional failure connected to sexual offences or crimes against children","boys | children in institutional care","2018-04-12","England","closed","Official inquiry findings published; no criminal conviction.","A","IICSA Cambridge House executive summary","https://www.iicsa.org.uk/reports-recommendations/publications/investigation/cambridge-house-knowl-view-rochdale/executive-summary.html","Smith died before the modern investigations concluded and there was no criminal trial.","IICSA found the 1969–70 Lancashire Police investigation was thorough and not a cover-up; the DPP took the contrary prosecution decision. Not every later decision was attributed to political pressure.","Preserve the police file, DPP reasoning, CPS reviews and institutional knowledge chronology.","An investigation or inquiry records the scope and findings of the named official process. It does not substitute for a criminal conviction and must be read with the report's limitations."
"Jimmy Savile","dossier-jimmy-savile.html","person","Media ownership, publishing, broadcasting, entertainment or celebrity influence | Healthcare, care-home, medical or therapeutic authority | Other documented authority, fame, access, succession, patronage or gatekeeping influence","National broadcaster and television personality, BBC (1958 – 2011) | Volunteer, fundraiser and unusually trusted institutional visitor, NHS hospitals and Broadmoor Hospital (not stated – 2011) | OBE and Knight Bachelor recipient, UK honours system (1971 – 2011)","savile-health-investigations-2014","Investigations / Inquiries","Sexual abuse of a child | Sexual assault or equivalent non-consensual sexual offence | Documented facilitation, concealment, obstruction or institutional failure connected to sexual offences or crimes against children","children | adults | patients","2014-06-26","England","closed","Official institutional findings published; no criminal adjudication because Savile died in 2011.","A","UK Government: Jimmy Savile NHS investigations","https://www.gov.uk/government/news/jimmy-savile-nhs-investigations","Savile died before the allegations resulted in a criminal case and therefore provided no trial response.","Institution-specific reports varied in what could be established. The findings do not prove every colleague, supporter, hospital worker or public figure knew about the abuse.","Preserve complaint chronologies and identify who received warnings and what action followed.","An investigation or inquiry records the scope and findings of the named official process. It does not substitute for a criminal conviction and must be read with the report's limitations."
