"id","name","category","role","country","city","longitude","latitude","precision","maximum_uncertainty_metres","record_count","grade_a","grade_b","source_domains","source_url","review_status"
"interpol","INTERPOL General Secretariat","law-enforcement","international police cooperation","France","Lyon","4.8497","45.7827","public-campus","1500","0","0","0","interpol.int","https://www.interpol.int/Who-we-are/Contact-INTERPOL","registry-defined"
"oecd","Organisation for Economic Co-operation and Development","intergovernmental","economic policy cooperation","France","Paris","2.2663","48.861","public-campus","1500","0","0","0","oecd.org","https://www.oecd.org/contact/","registry-defined"
"fatf","Financial Action Task Force","financial-governance","anti-money-laundering standards","France","Paris","2.266","48.8612","public-campus","1500","0","0","0","fatf-gafi.org","https://www.fatf-gafi.org/en/contact-us.html","registry-defined"
"bis","Bank for International Settlements","financial-institution","central-bank cooperation","Switzerland","Basel","7.591","47.5487","public-campus","1500","0","0","0","bis.org","https://www.bis.org/about/contact.htm","registry-defined"
"who","World Health Organization","intergovernmental","international public health","Switzerland","Geneva","6.1341","46.2324","public-campus","1500","0","0","0","who.int","https://www.who.int/about/contact-us","registry-defined"
"wto","World Trade Organization","intergovernmental","international trade governance","Switzerland","Geneva","6.1405","46.2232","public-campus","1500","0","0","0","wto.org","https://www.wto.org/english/info_e/cont_e.htm","registry-defined"
"iaea","International Atomic Energy Agency","intergovernmental","nuclear safeguards and cooperation","Austria","Vienna","16.4169","48.2348","public-campus","1500","0","0","0","iaea.org","https://www.iaea.org/contact","registry-defined"
"unodc","United Nations Office on Drugs and Crime","intergovernmental","crime, drugs and corruption programmes","Austria","Vienna","16.4165","48.2345","public-campus","1500","0","0","0","unodc.org","https://www.unodc.org/unodc/en/contact-us.html","registry-defined"
"ecb","European Central Bank","central-bank","euro-area monetary authority","Germany","Frankfurt","8.7452","50.1095","public-campus","1500","0","0","0","ecb.europa.eu","https://www.ecb.europa.eu/services/contact/html/index.en.html","registry-defined"
"gchq","Government Communications Headquarters","intelligence","signals intelligence and cyber security","United Kingdom","Cheltenham","-2.126","51.8991","city-centroid","25000","0","0","0","gchq.gov.uk","https://www.gchq.gov.uk/contact","registry-defined"
"mi5","Security Service (MI5)","intelligence","domestic security intelligence","United Kingdom","London","-0.1257","51.495","city-centroid","25000","0","0","0","mi5.gov.uk","https://www.mi5.gov.uk/contact-us","registry-defined"
"sis","Secret Intelligence Service (MI6)","intelligence","foreign intelligence","United Kingdom","London","-0.1246","51.4872","city-centroid","25000","0","0","0","sis.gov.uk","https://www.sis.gov.uk/contact-us.html","registry-defined"
"port-rotterdam","Port of Rotterdam","infrastructure","maritime logistics hub","Netherlands","Rotterdam","4.2867","51.916","jurisdiction-centroid","150000","0","0","0","portofrotterdam.com","https://www.portofrotterdam.com/en/contact","registry-defined"
"port-singapore","Port of Singapore","infrastructure","maritime logistics hub","Singapore","Singapore","103.8","1.264","jurisdiction-centroid","150000","0","0","0","mpa.gov.sg","https://www.mpa.gov.sg/contact-us","registry-defined"
